idx	chapter	ref
18	0	"On the right, a few serious writers have sought to rehabilitate ethno-nationalism. Yoram Hazony's (2018) <i>The Virtue of Nationalism</i>, acclaimed in the United States as the ""Conservative Book of the Year"" in 2019, argues that all successful nation-states require ethnonational foundations, binding their people together&mdash;and distinguishing them from others&mdash;by commonalities of language, religion, and custom. Hazony doubts the coherence if not the very existence of civic nations, a position that has scant empirical support (as we will discuss in Chapter 3). Enthusiasm for Hazony's larger thesis on the part of conservative and centrist thinkers in the United States is curious, for it runs counter to the historical trans-partisan emphasis on America's own national creed, which downplays ethnic elements and foregrounds public ideas and ideals. As the neoconservative writer Robert Kagan framed the issue in 2006, ""the Declaration of Independence and the Revolution produced a different kind of nationalism"" from that emerging in Europe at the same time. In the early Republic, national unity was based not on ""common ancestry, common history, and common land but [on] common allegiance to liberal republican ideology"" (Kagan 2006, 4; see also pages 152-153). Kagan's formulation may be exaggerated; a common history, land, and language are indeed wrapped up in the American story. Yet these features have traditionally been ascribed a secondary role. <br> Countering the ethno-nationalist trend are a number of recent books by prominent American public intellectuals of diverse political inclination who advocate instead a more encompassing version of civic nationalism. Francis Fukuyama (2018) shows how different national identities have emerged along different paths, some turning toward ethnic-group inclusion and exclusion while others move toward cultural pluralism. Focusing on the United States, Jill Lepore (2019) emphasizes the often-thwarted promise of progressive liberalism found in civic nationalism. Similarly, John Judis (2018) contends that civic nationalism allows the maintenance of the welfare state while warding off the excesses of globalization precisely by contributing to a vibrant international order. From a more conservative perspective, Amy Chua (2018) argues that the United States is unique precisely because its ""national identity is not defined by the identity of any one of the innumerable ethnic subgroups that make up the U.S. population"" (2018, 11). And although the nationalist conservative Rich Lowry (2019) dismisses civic nationalism as a mere illusion, he nonetheless upholds its basic principles, opining that ""America largely fulfills the standards of a civic nation..."" (2019, 19). <br>This drive to rehabilitate civic nationalism has much to recommend it. But it sometimes untethers the United States from the complexities of the global whole. Lepore, for example, contends that America occupies a position ""as rare as hens' teeth"" because ""it was a state before it became a nation"" and is thus better conceptualized as a ""state-nation"" than as a ""nation-state"" (2019, 33). While astute as a characterization of the United States, this condition is not so unusual as she seems to think. Only a handful of countries, mostly located in central and eastern Europe, saw the development of national identity precede the creation of the state associated with it. In the usual course of history, the state has contributed substantially to building its nation. If the United States has a unique form of nationalism, its special feature lies elsewhere, particularly in the fact that its principles were expressly and eloquently articulated, albeit often hypocritically, by its founding leaders. But similar forms of civic nationalism, marked by an equally powerful ability to incorporate and acculturate immigrants of varied ethnic stock, emerged in a number of other countries, including Canada, Australia, New Zealand, Brazil, Argentina, and Chile. <br>It is also worth noting that the ""state-nation"" concept advanced by Lepore is nothing new. In 1922, the German nationalist scholar Friedrich Meinecke differentiated the ""state-nation"" (Staatsnationen) from the ""culture-nation"" (Kulturnationen); see the discussion in Cobban (1969 [1945]), 108). The ""state-nation"" idea was elaborated in depth by Philip Bobbit (2002), who framed it as a general precursor to the nation-state in the European crucible of nationalism. "
19	0	"Mikesell (1983, 257)."
20	0	"Although a relatively strong movement for Icelandic nationalism emerged in the mid nineteenth century, Iceland did not gain independence from Denmark until 1944, when Denmark itself was under Nazi German occupation and rule.   "
21	0	"Orwell (1945). Orwell defined nationalism in both broader and narrower terms than are usual, limiting it to <i>extreme</i> devotion to one's country but expanding its targets to include all ideologies that he viewed as invidiously dividing humankind (including Communism, political Catholicism, Zionism, antisemitism, Trotskyism, and even Pacifism). Orwell was, to say the least, opposed to this kind of belief system: ""By 'nationalism' I mean first of all the habit of assuming that human beings can be classified like insects and that whole blocks of millions or tens of millions of people can be confidently labelled 'good' or 'bad'. But secondly&mdash;and this is much more important&mdash;I mean the habit of identifying oneself with a single nation or other unit, placing it beyond good and evil and recognizing no other duty than that of advancing its interests"" (from the first page of the unpaginated on-line publication <i>Notes on Nationalism</i> - <a class='reflink' target='_blank' href='https://www.orwellfoundation.com/the-orwell-foundation/orwell/essays-and-other-works/notes-on-nationalism/'>The Orwell Foundation</a>. Elsewhere in the essay, Orwell defines nationalism as ""power hunger tempered by self-deception."""
22	0	"For a geopolitics text that emphasizes  ""complexity, or 'messiness,'"" see Flint (2017, 283)."
23	0	<a class='reflink' target='_blank' href='https://library.stanford.edu/rumsey'>On the David Rumsey Map Center</a>
24	0	Lewis and Wigen (1997).
25	0	Lewis (1999). 
26	0	Wigen (forthcoming).
27	0	"We both earned doctorates in geography at U.C. Berkeley; we now teach in the history department of Stanford. One of us identifies as a geographical historian, the other as a historical geographer. The present endeavor has evolved out of a series of collaborative projects over the years, from the Oceans Connect project at Duke in the 1990s to our co-taught World History courses at Stanford."
28	0	Duara (1995). 
29	0	"Sheehan (1981, 3)."
30	0	"Sheehan (1981, 5). Current scholarship on the ""German Question"" stresses the tentative nature of nineteenth-century unification, regardless of the triumphal assertions of nationalist scholars and literary figures. As Zef Segal (2019, 270) concludes his recent study, ""Germany was [at the time] mostly a vague concept that had little effect on the lives of the Germans."""
31	0	"See, respectively, Satia (2008, 2018), Daughton (2018), Press (2017), and Uchida (2014)."
32	0	"See the works of Norman Naimark (most recently, 2019). "
33	0	"Crews (2015). We have also found much inspiration in the on-going, multi-year faculty seminar on Eurasian empires led by Nancy Kollmann, a historian of imperial Russia, and Ali Yayciolu, a historian of the Ottoman Empire."
34	0	"Amrith (2015), Miran (2009). "
1	2	https://www.cia.gov/the-world-factbook/maps/world-regional/
2	2	"International law goes further, granting each the status of personhood. As spelled out in Article One of the influential Montevideo Convention on the Rights and Duties of States (1933), ""The state as a person of international law should possess the following qualifications: (a) a permanent population; (b) a defined territory; (c) government; and (d) capacity to enter into relations with the other states."" The full text of the Montevideo Convention on the Rights and Duties of States can be found <a class='reflink' target='_blank' href='http://www.oas.org/juridico/english/treaties/a-40.htm'>here</a>."
3	2	"The CIA maps Kosovo as a sovereign state, but it is not recognized as such by the UN."
4	2	Jackson (1990).
5	2	Ahmed and Green (1999).
6	2	"<a class='reflink' target='_blank' href='https://www.reuters.com/article/us-libya-security-haftar-insight/how-libyas-haftar-blindsided-world-powers-with-advance-on-tripoli-idUSKCN1RM0PJ'>""How Libya's Haftar Blindsided World Powers with Advance on Tripoli,""</a> by Ulf Laessing, <i>Reuters</i>, April 19, 2019."
7	2	"This is certainly the Turkish perspective: see <a class='reflink' target='_blank' href='https://www.middleeastmonitor.com/20200115-turkey-libyas-haftar-wants-military-solution/'>""Turkey: Libya's Haftar Wants a Military Solution,""</a> Memo: <i>Middle East Monitor</i>, Jan. 15, 2020. "
8	2	"In the 2017 referendum, the vast majority of voters in Iraqi Kurdistan opted for independence. See <a class='reflink' target='_blank' href='https://www.theguardian.com/world/2017/sep/27/over-92-of-iraqs-kurds-vote-for-independence'>""More than 92% of Voters in Iraqi Kurdistan Back Independence,""</a> by Martin Chulov, <i>The Guardian</i>, September 27, 2017."
9	2	"See <a class='reflink' target='_blank' href='https://www.nybooks.com/daily/2018/06/15/how-my-fathers-ideas-helped-the-kurds-create-a-new-democracy/'>""How My Father's Ideas Helped the Kurds Create a New Democracy,""</a> by Debbie Bookchin, <i>New York Review of Books Daily</i>, June 15, 2018."
10	2	"As spelled out in preamble to <a class='reflink' target='_blank' href='https://civiroglu.net/the-constitution-of-the-rojava-cantons/'>The Constitution of the Rojava Cantons</a>: ""In pursuit of freedom, justice, dignity and democracy and led by principles of equality and environmental sustainability, the Charter proclaims a new social contract, based upon mutual and peaceful coexistence and understanding between all strands of society. It protects fundamental human rights and liberties and reaffirms the peoples' right to self-determination. Under the Charter, we, the people of the Autonomous Regions, unite in the spirit of reconciliation, pluralism and democratic participation so that all may express themselves freely in public life. In building a society free from authoritarianism, militarism, centralism and the intervention of religious authority in public affairs, the Charter recognizes Syria's territorial integrity and aspires to maintain domestic and international peace.)"""
11	2	"<a class='reflink' target='_blank' href='https://www.unhcr.org/en-us/central-african-republic-situation.html'>""Central African Republic Situation,"" UNHCR."
12	2	"<a class='reflink' target='_blank' href='https://www.aljazeera.com/news/2017/08/dr-congo-violence-displaces-38-million-170826214837895.html'>""DC Congo Violence Displaces 3.8 Million: UN,""</a> <i>Al Jazeera</i>, August 26, 2017."
13	2	"<a class='reflink' target='_blank' href='https://www.economist.com/middle-east-and-africa/2019/08/03/how-do-you-reform-a-country-where-gunmen-torch-ebola-clinics'>""An Epidemic of Violence: How do you reform a country where gunmen torch Ebola clinics?"" <i>The Economist</i>, August 3, 2019. Pages 35-37."
14	2	<a class='reflink' target='_blank' href='https://fragilestatesindex.org/country-data/'>Fragile State Index</a> (see data for South Sudan).
15	2	"<a class='reflink' target='_blank' href='https://www.nytimes.com/2017/04/20/world/africa/uganda-joseph-kony-lra.html'>""Uganda Ends Its Hunt for Joseph Kony, Empty-Handed,""</a> by Zach Baddorf, <i>New York Times</i>, April 3, 2017.<br>In 1990, Robert Jackson (1990, 149) portrayed neighboring Chad in even starker term, writing that it amounted to little more than a violent arena ""where rival ethnic warlords preyed upon innocent bystanders and laid waste to the countryside in a perennial struggle to seize control of a nominal state represented by the capital city."""
16	2	"Ghani and Lockhart (2008, 21)."
17	2	"The CIA actually codes Western Sahara as a quasi-dependency rather than a sovereign state, inasmuch as its label is not given the all-capital-letters treatment used to identify independent countries. But unlike formal dependencies, no overriding sovereign power is parenthetically noted. See the accompanying video on the CIA world map for a more detailed exposition."
18	2	"See the Wikipedia article entitled, <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/International_recognition_of_the_Sahrawi_Arab_Democratic_Republic'>""International Recognition of the Sahrawi Arab Democratic Republic""</a>."
19	2	Shelley (2004).
20	2	"See, for example, <a class='reflink' target='_blank' href='https://www.theguardian.com/world/2017/jul/28/trouble-in-paradise-the-canary-island-beach-accused-of-illegally-importing-sand'>""Trouble in Paradise: The Canary Island Beach Accused of Illegally Importing Sand,""</a> by Anders Lundqvist and Rowan Bauer, <i>The Guardian</i>, July 28, 2017."
21	2	"<a class='reflink' target='_blank' href='http://northafricapost.com/37171-sahara-bolivia-abandons-polisario-separatists-isolation-deepens.html'>""Sahara: Bolivia Abandons Polisario: Separatists' Isolation Deepens.""</a> <i>North Africa Post</i>, January 21, 2020. "
22	2	"<a class='reflink' target='_blank' href='https://www.alarabiya.net/articles/2008/12/02/61217.html'>""McDonalds Morocco Sorry for 'Offensive' Meal,""</a> <i>Al Arabiya News</i>, Dec. 2. 2008."
23	2	"The quotation is found in <a class='reflink' target='_blank' href='http://www.ansamed.info/ansamed/en/news/sections/generalnews/2016/08/10/morocco-mcdonalds-to-open-in-disputed-western-sahara_d1cb8344-24ee-48ca-8f39-72aa7da9cd88.html'>""Morocco: McDonald's to Open in Disputed Western Sahara,""</a> in ANSA<i>Med</i>, August 10, 2016."
24a	2	"""<a class='reflink' target='_blank' href='https://foreignpolicy.com/2020/12/15/biden-reverse-course-western-sahara/'>Biden Must Reverse Course on Western Sahara</a>"", by John Bolton. <i>Foreign Policy</i>, December 15, 2020."
24	2	"See the Wikipedia article <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Western_Sahara'>""Western Sahara"".</a><br> Note that even this commendable cartography overlooks the military command-center of the would-be Sahrawi state in neighboring Algeria."
25	2	"For a comprehensive global exposition of such divisions, see the website <i><a class='reflink' target='_blank' href='http://www.statoids.com/'>Statoids: Administrative Divisions of Countries</a></i>."
26	2	https://www.cia.gov/library/publications/the-world-factbook/
27	2	"See <a class='reflink' target='_blank' href='https://www.washingtonpost.com/news/answer-sheet/wp/2013/10/01/589-days-with-no-elected-government-what-happened-in-belgium/?utm_term=.eb4d09ff252c'>""589 Days With No Elected Government: What Happened in Belgium?,""</a> by Valerie Straus, <i>Washington Post</i>, October 1, 2013."
28	2	"<a class='reflink' target='_blank' href='https://www.economist.com/news/2007/10/05/keep-it-together'>""Belgium Diary: Keep it Together,""</a> <i>The Economist</i>, October 5, 2007."
29	2	"In 2010, Farage assailed then-President of the EU Council Herman van Rompuy by saying, ""You appear to have a loathing for the very concept of the existence of nation-states&mdash;perhaps that's because you come from Belgium, which of course is pretty much a non-country."" <a class='reflink' target='_blank' href='https://en.wikiquote.org/wiki/Nigel_Farage'>""Nigel Farage,""</a> Wikiquotes."
30	2	"Farage's screed earned him a 2,980-euro fine for ""inappropriate behavior."""
31	2	"The quotation is from McEvedy (1972, 80). The late Colin McEvedy, a psychiatrist and amateur historical-political-geographer, was a brilliant writer and cartographer who deserves attention. "
32	2	"Painter (2009, 35). As Robert Jackson (2007, 151), citing Neil MacCormick, notes, ""The European Union is sometimes portrayed as a 'thoroughgoing' transcendence of the sovereign state."""
33	2	"The Dayton Accord was the treaty that ended the bloody civil war following the collapse of Yugoslavia. According to its website, the Office of the High Representative seeks to ""ensure that Bosnia and Herzegovina evolves into a peaceful and viable democracy on course for integration in Euro-Atlantic institutions."" From the Official Webpage, <a class='reflink' target='_blank' href='http://www.ohr.int/?lang=en'>""The Office of the High Representative""</a> (""About OHR,"" under ""General Information"")."
34	2	"See <a class='reflink' target='_blank' href='https://www.crisisgroup.org/europe-central-asia/balkans/bosnia-and-herzegovina/federation-bosnia-and-herzegovina-parallel-crisis'>""Federation of Bosnia and Herzegovina&mdash;A Parallel Crisis,""</a> International Crisis Group Report #209, Sept. 28, 2010."
35	2	"The country's official head of state, meanwhile, is lodged in a three-member collective presidency that by law must include one ethnic Bosniak, one Croat, and one Serb (from the official website, <a class='reflink' target='_blank' href='http://www.predsjednistvobih.ba/hron/default.aspx?id=10074&langTag=en-US'>""Presidency of Bosnia and Herzegovinia""</a>).<br>As a society, Bosnia is cleaved among these three ethno-national groups, with largely separate institutions regulating life for the traditionally Muslim Bosniaks, the traditionally Roman Catholic Croats, and the traditionally Eastern Orthodox Serbs (see <a class='reflink' target='_blank' href='http://politicalviolenceataglance.org/2017/03/14/bosnia-and-herzegovina-two-decades-after-dayton/'>""Bosnia and Herzegovina&mdash;Two Decades after Dayton,""</a> by Maja Halilovic-Pastuovic, in <i>Political Violence @ a Glance</i>, March 14, 2017)."
36	2	"Some political theorists regard formal recognition by the international community as a necessary condition for statehood. Thomas Grant (1999, 4), for example, differentiates ""constitutivists,"" ""who argued that recognition is necessary to make a state,"" from ""declaratists"" who claimed that recognition is ""an acknowledgement of statehood already achieved."""
37	2	"Pegg (1998, 4). Other authors have used different terminology. Deon Geldenhuys (2009), for example, deems these non-recognized polities ""contested states,"" which he contrasts with ""confirmed states."""
38	2	See Somaliland's <a class='reflink' target='_blank' href='http://somalilandgov.org'>official website</a>.
39	2	"See <a class='reflink' target='_blank' href='http://www.worldpolicy.org/blog/2017/02/21/somaliland-stable-and-independent-state-no-recognition'>""Somaliland: A Stable and Independent State, But Not Recognition,""</a> by Nimo Ismail, <i>World Policy Blog</i>, Feb. 21, 2017.<br>Somaliland is also somewhat democratic and moderately free, besting on this score several of Africa's recent stars of economic development, such as Rwanda and Ethiopia. Freedom House rates Somaliland only as ""partly free,"" but it is the only country in the northeastern quadrant of Africa to receive that designation, the other being rated as ""not free."" (See Freedom House, <a class='reflink' target='_blank' href='https://freedomhouse.org/country/somaliland/freedom-world/2020'>Somaliland</a>, Freedom of the World in 2020). Nina Casperson, however, notes that in Somaliland, ""the need for unity and the avoidance of internal strife has undermined what are otherwise significant democratic achievements"" (2012, 93). "
40	2	"<a class='reflink' target='_blank' href='http://www.unpo.org/content/view/3905/236/'>""Somaliland: Wales Strikes Out on Its Own In Its Recognition of Somaliland,""</a> Unrepresented Nations and Peoples Organization, March 6, 2016.<br>But as Wales is a non-sovereign polity, such recognition is merely symbolic."
41	2	"The quotation is from <a class='reflink' target='_blank' href='http://www.thenational-somaliland.com/2017/03/21/somaliland-uae-sign-historic-economic-military-pact/'>""Somaliland, UAE Sign Historic Economic and Military Pact,""</a> <i>The National</i>, March 21, 2017."
42	2	"See, for example, <a class='reflink' target='_blank' href='https://greece.greekreporter.com/2018/02/28/opinion-turkeys-new-invasion-of-cyprus/'>""Opinion: Turkey's New Invasion of Cyprus,""</a> by  Andreas C. Chrysafis, <i>Greek Reporter</i>, February 28, 2018."
43	2	"This view of  Transnistria (formally called the Pridnestrovian Moldavian Republic) is articulated by Glenny (2008, 91). Nina Caspersen argues that such a depiction is unduly ""alarmist""; Caspersen (2012, 46)."
44	2	"See the Wikipedia article, <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Political_status_of_Nagorno-Karabakh'>""Political status of Nagorno-Karabakh""</a>. Intriguingly, two U.S. states have passed opposing bills recognizing the territorial integrity of Azerbaijan."
45	2	"But if Armenia exerts a significant measure of control over Nagorno-Karabakh, Nagorno-Karabakh also influences Armenia; see Caspersen (2012, 58)."
46	2	"As little is available on this organization in English, we recommend <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Community_for_Democracy_and_Rights_of_Nations'>this</a> Wikipedia article."
47	2	"See <a class='reflink' target='_blank' href='http://www.ibtimes.com/ukraine-parliament-votes-call-donetsk-luhansk-peoples-republics-terrorist-groups-1796800'>""Ukraine Parliament Votes to Call Donetsk And Luhansk People's Republics Terrorist Groups,""</a> by Christopher Harress, <i>IBT</i>, Jan. 27, 2017."
48	2	"On unrecognized states more generally, see Caspersen (2012)."
49	2	"See, for example, <a class='reflink' target='_blank' href='http://foreignpolicy.com/2015/02/13/putins-frozen-conflicts/'>""Putin's Frozen Conflicts,""</a> by Robert Orttung and Christopher Walker, <i>Foreign Policy</i>, Feb. 13, 2015."
50	2	"On the assumption of impermanence, see Caspersen (2012, 103). As Pegg notes, ""there is little incentive to devote much attention to <i>de facto</i> states because their ultimate defeat and reincorporation into existing states is both assumed and sought"" (1998, 8)."
51	2	"Diener and Hagen (2010, 3). "
52	2	"<a class='reflink' target='_blank' href='http://www.globalsecurity.org/military/world/war/spratly-claims.htm'>""Territorial claims in the Spratly and Paracel Islands,""</a> GlobalSecurity.org."
53	2	"See <a class='reflink' target='_blank' href='https://www.bbc.com/news/world-south-asia-13529512'>""Economist Accuses India of Censorship Over Kashmir Map,"" By Sanjoy Majumder, <i>BBC News</i>, May 24, 2011."
54	2	"In August 2017, India and China were rattling their sabers in this area intensively enough to prompt warnings of war. This generally overlooked conflict is also intricate, involving little Bhutan as well as the world's two demographic giants. See <a class='reflink' target='_blank' href='https://www.theguardian.com/world/2017/jul/06/china-india-bhutan-standoff-disputed-territory'>""Chinese and Indian Troops Face Off in Bhutan Border Dispute,"" by Michael Safi, <i>The Guardian</i>, July 5, 2017."
55	2	"Ahmad <i>et al.</i> (2012). For an extended discussion, see <a class='reflink' target='_blank' href='http://www.geocurrents.info/geopolitics/border-disputes/pakistan-claim-junagadh-indian-state-gujarat#ixzz5WlkUnJse'>""Does Pakistan Claim Junagadh in the Indian State of Gujarat?,""</a> by Martin W. Lewis, <i>GeoCurrents</i>, April 22, 2014."
56	2	"Strictly speaking, an exclave must be entirely surrounded by the territory of another country. If it can be reached from the main body of the state by water, it is instead defined as either a ""semi-exclave"" or a ""pene-exclave."" The terminology is complex; see the explanatory diagram of territorial discontinuities found in the Wikipedia article <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Enclave_and_exclave'>""Enclave and Exclave""</a>. For a classic work on this phenomenon, see Robinson (1939). For a more detailed and recent study, see Vinokurov (2007)."
57	2	This assertion is true to the extent that the island of Mayotte is part of Africa whereas Reunion belongs with an Indian Ocean region.
58	2	"See <a class='reflink' target='_blank' href='https://thegate.boardingarea.com/fun-with-enclaves-and-exclaves-united-arab-emirates-and-oman/'>""Fun With Enclaves and Exclaves: United Arab Emirates and Oman,""</a> by Brian Cohen, <i>The Gate</i>."
59	2	"See <a class='reflink' target='_blank' href='https://www.citylab.com/equity/2012/02/most-complicated-border-town-world/1267/'>""The Most Complicated Border Town in the World,"" by Kaid Benfield, <i>CityLab</i>, February 17, 2012."
60	2	"<a class='reflink' target='_blank' href='http://www.migrationpolicy.org/article/india-and-bangladesh-swap-territory-citizens-landmark-enclave-exchange'>""India and Bangladesh Swap Territory, Citizens in Landmark Enclave Exchange.""</a> By Hosna J. Shewly, <i>Migration Policy Institute</i>, March 9, 2016."
61	2	"Nikolic (2019, 18). Zoran Nikolics <i>The Atlas of Unusual Borders</i> is a visual treasure-trove of such border irregularities. For a somewhat similar and equally delightful work, see Nick Middleton's (2017) <i>An Atlas of Countries That Don't Exist.</i>"
62	2	"See Bill&eacute; (2016, 2). See also www.italiantimes.net."
63	2	"<a class='reflink' target='_blank' href='https://opinionator.blogs.nytimes.com/2012/01/23/the-worlds-most-exclusive-condominium/'>""The World's Most Exclusive Condominium,""</a> by Frank Jacobs. <i>The New York Times</i>, January 23, 2012."
64	2	"The full international recognition of such microstates, Deon Geldenhuys (2009, 10) argues, indicates a ""devaluation of the importance of territory in the 20th century,"" and consequently a diminution of the territorial principle that ostensibly lies at the core of the standard model of world politics."
65	2	"As Caspersen notes, ""entities such as Monaco and Andorra... have pragmatically accepted less than full sovereignty"" (2012, 103).  Lichtenstein and San Marino have also ceded some power to their much larger neighbors (Switzerland and Italy, respectively), as is explained in the Wikipedia article on <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Associated_state'>Associated State</a>."
66	2	"<a class='reflink' target='_blank' href='http://www.vogue.com/article/emmanuel-macron-co-prince-of-andorra'>""Why Emmanuel Macron Is Technically Now a Prince,""</a> by Madeleine Luckel. <i>Vogue</i>, May 15, 2017."
67	2	"See <a class='reflink' target='_blank' href='https://www.state.gov/s/inr/rls/4250.htm'>""Independent States of the World,""</a> <i>US Department of State</i>."
68	2	"For example, <a class='reflink' target='_blank' href='http://www.worldometers.info/geography/how-many-countries-are-there-in-the-world/'>""Countries in the World: 195,""</a> <i>Worldometer</i>.<br>As this article states, ""There are 195 countries in the world today. This total comprises 193 countries that are member states of the United Nations and 2 countries that are non-member observer states: the Holy See and the State of Palestine."" For another example, see <a class='reflink' target='_blank' href='https://www.infoplease.com/world/diplomacy/how-many-countries'>""How Many Countries,""</a> <i>Infoplease</i>: How Many Countries?<br> According to this article, ""There are 196 countries in the world today. Unless you don't count Taiwan... Taiwan is not considered an official country by many, which would bring the count down to 195 countries."""
69	2	"The <i>World Population Review</i>'s figure of 206 is based on the 193 UN members, the two UN ""observers"" (The Vatican City and Palestine), and 11 additional polities classified as 'other' states.  The 'other' states are: Abkhazia, Artsakh (Nagorno-Karabakh), Cook Islands, Kosovo, Niue, Northern Cyprus, Western Sahara (SADR), Somaliland, South Ossetia, Taiwan, and Transnistria. The map of ""sovereign nations"" on the same website, however, does not match the list. See <a class='reflink' target='_blank' href='http://worldpopulationreview.com/countries/sovereign-nation/'>here</a>. <br>Similarly, a 2007 <a class='reflink' target='_blank' href='https://www.cs.mcgill.ca/~rwest/wikispeedia/wpcd/wp/l/List_of_countries.htm'>""School's Wikipedia Selection""</a> came up with a list of 202 ""sovereign states"" by including most of the polities mentioned in the preceding paragraph."
70	2	"It is significant that the United States, which usually follows the standard international practice of refusing to recognize states that unilaterally declare independence, made an exception in the case of Kosovo."
71	2	"See, for example, <a class='reflink' target='_blank' href='http://www.newcenturygeostrat.org/strategic-ambiguity-in-cross-strait-relations/'>""Strategic Ambiguity in Cross-Strait Relations,""</a> by Walter S. Boone, <i>New Century GeoStrategist</i>, March 29, 2016."
72	2	"<a class='reflink' target='_blank' href='https://www.state.gov/s/inr/rls/4250.htm'>""Independent States of the World,""</a> <i>US Department of State</i>, note 3."
73	2	"Melissa Brown, <i>Is Taiwan Chinese?</i> (2004)."
74	2	"The ""sovereignty"" of the Knights of Malta is discussed well in the <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Sovereign_Military_Order_of_Malta'>Wikipedia article</a> on the entity. Note, however, that the measure of sovereignty that it does possess is sometimes challenged by the Vatican; see <a class='reflink' target='_blank' href='https://blogs.spectator.co.uk/2017/01/pope-seizes-power-knights-malta-brutally-ending-900-years-sovereignty/'>""Pope Seizes Power from the Knights of Malta, Brutally Ending 900 Years of Their Sovereignty,""</a> by Damian Thompson, <i>The Spectator</i>, January 25, 2017."
75	2	"Many U.N. members currently do not recognize the state of Israel; see <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/International_recognition_of_Israel'>the Wikipedia article on the subject</a>. <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Foreign_relations_of_Cyprus'>Turkey does not recognize the Republic of Cyprus</a>, and <a class='reflink' target='_blank' href='https://en.wikipedia.org/wiki/Armenia–Pakistan_relations#cite_note-1'>Pakistan does not recognize Armenia</a>."
76	2	"<a class='reflink' target='_blank' href='http://www.fsmlaw.org/compact/'>""Compact of Free Association,""</a> <i>Legal Information System of the Federated States of Micronesia</i>."
77	2	"<a class='reflink' target='_blank' href='http://cookislandslawsociety.com/resources/2015%20Cook%20Islands%20New%20Zealand%20Free%20Association%20(MFAI).pdf'>""The Cook Islands and Free Association: Understanding the Nature & Practice of the Special Relationship with New Zealand,""</a> <i>Cook Islands Ministry of Foreign Affairs and Immigration</i>.  Emphasis in the original. "
78	2	"See the official United Nations Map, <a class='reflink' target='_blank' href='https://www.un.org/Depts/Cartographic/map/profile/world00.pdf'>""The World Today"". <br>The same map places the Holy See and the State of Palestine in slightly different category, that of ""Observer Non-Member States of the United Nations."""
79	2	"See <a class='reflink' target='_blank' href='https://treaties.un.org/Pages/HistoricalInfo.aspx#Niue'>""United Nations Treaty Collection: Multilateral Treaties Deposited with the Secretary General,"" Niue, Note 1. "
80	2	"Both maps can be found at the UN's <a class='reflink' target='_blank' href='https://www.un.org/Depts/Cartographic/english/htmain.htm'>""Geospatial Information Section""</a>.<br>The map of ""The World"" can be located through the pull-down menu under the heading ""General Maps."" The map of ""The World Today"" can be located under the heading ""Thematic maps: More Maps."""
81	2	https://www.un.org/Depts/Cartographic/map/profile/world.pdf
81b	2	"Incongruously, however, the French overseas departments of Reunion, Mayotte, Martinique, Guadalupe, and Guiana were portrayed in the same manner until 2019, as if they were mere possessions rather than integral parts of France. To this day Mayotte, another French overseas department, is not uniformly treated as an integral part of France. Although it is portrayed in such a manner on the CIA world map, on the CIA regional map of Africa it is depicted instead as ""administered by France claimed by Comoros."""
82	2	"<a class='reflink' target='_blank' href='https://thediplomat.com/2020/02/chuuk-states-delayed-independence-vote-approaches/'>Chuuk State's Delayed Independence Vote Approaches</a>,"" by Adam Kiedrowski. <i>The Diplomat</i>, February 14, 2020."""
83	2	"In formal terms, the former designation ""broadly describes an area that is self-governing under a constitution of its adoption and whose right of self-government will not be unilaterally withdrawn by Congress,"" whereas the latter term designates only ""an area over which the Constitution has not been expressly and fully extended by the Congress.""). These quotations are <a class='reflink' target='_blank' href='https://fam.state.gov/FAM/07FAM/07FAM1120.html#M1121_2_1'>found in</a>: 7 FAM 1120 ACQUISITION OF U.S. NATIONALITY IN U.S. TERRITORIES AND POSSESSIONS"" (CT:CON-429;   01-03-2013) (Office of Origin: CA/OCS/L)."
84	2	"<a class='reflink' target='_blank' href='http://www.un.org/en/decolonization/nonselfgovterritories.shtml'>""Non-Self-Governing Territories,""</a> United Nations and Decolonization (Official United Nations Document).  Significantly, ""unorganized"" American Samoa appears on this roster but the Northern Mariana Islands, formally a commonwealth, does not."
85	2	"See <a class='reflink' target='_blank' href='http://www.atimes.com/article/hk-youth-shunning-chinese-national-identity/'>""HK Youth Shunning 'Chinese' as their National Identity: A Survey Finds That 8.7% of the City's Young People Find Their Hong Kong Identity 'Absolutely Incompatible' with Being 'Chinese,'""</a> By Kent Ewing. <i>Asia Times</i>, April 19, 2018."
